,COUNTY,ROUTE_TYPE,ROUTE_NUMBER,ROUTE_SUFFIX,FINAL_ROUTE_TYPE
3701,8,MD,234,(no suffix),MD
3703,12,MD,156,(no suffix),MD
3705,12,MD,161,(no suffix),MD
3716,22,MD,991,(no suffix),MD
3717,16,MD,228,A,MD
3718,3,MD,151,(no suffix),MD
3720,3,MD,147,(no suffix),MD
3722,3,MD,562,(no suffix),MD
3727,20,MD,954,A,MD
3730,23,MD,452,(no suffix),MD
3746,16,MD,965,(no suffix),MD
3750,16,MD,810,G,MD
3765,4,MD,506,(no suffix),MD
3770,3,MD,133,(no suffix),MD
3771,3,MD,134,(no suffix),MD
3789,16,MD,950,A,MD
3793,16,MD,810,F,MD
3831,16,MD,810,H,MD
3843,5,MD,324,(no suffix),MD
3844,5,MD,314,(no suffix),MD
3849,16,MD,500,(no suffix),MD
3851,16,MD,501,(no suffix),MD
3853,16,MD,450,(no suffix),MD
3867,5,MD,404,N,MD
3874,16,RP,119,(no suffix),MD
3888,12,US,1,(no suffix),US
3889,12,US,40,(no suffix),US
3898,2,MD,648,H,MD
3900,2,MD,652,(no suffix),MD
3901,2,MD,665,(no suffix),MD
3902,2,MD,648,E,MD
3905,1,MD,948,Z,MD
3907,13,MD,932,B,MD
3910,15,MD,107,(no suffix),MD
3920,16,MD,201,(no suffix),MD
3932,1,MD,47,(no suffix),MD
3933,16,MD,382,(no suffix),MD
3940,17,MD,18,R,MD
3941,2,MD,648,D,MD
3946,13,MD,100,J,MD
3965,1,MD,807,(no suffix),MD
3977,16,MD,210,K,MD
3978,16,MD,210,P,MD
3982,12,MD,146,(no suffix),MD
3983,2,MD,32,AA,MD
4025,16,MD,210,S,MD
4028,15,MD,186,(no suffix),MD
4030,15,MD,187,(no suffix),MD
4031,15,MD,189,(no suffix),MD
4032,15,MD,188,(no suffix),MD
4044,16,MD,564,(no suffix),MD
4046,2,MD,450,(no suffix),MD
4053,2,MD,553,B,MD
4054,2,MD,607,(no suffix),MD
4056,2,MD,642,(no suffix),MD
4082,1,MD,135,A,MD
4083,21,MD,894,(no suffix),MD
4085,2,MD,648,A,MD
4098,13,RP,100,(no suffix),MD
4140,13,RP,95,(no suffix),IS
4142,13,RP,895,(no suffix),IS
4145,3,MD,542,(no suffix),MD
4150,3,MD,372,(no suffix),MD
4180,1,MD,53,(no suffix),MD
4181,12,MD,763,(no suffix),MD
4183,7,MD,537,D,MD
4187,1,MD,948,AO,MD
4197,13,MD,932,G,MD
4198,2,RP,595,(no suffix),IS
4199,2,RP,295,(no suffix),MD
4200,1,MD,736,(no suffix),MD
4202,2,MD,100,N,MD
4207,15,MD,185,E,MD
4216,16,MD,704,(no suffix),MD
4217,16,MD,717,(no suffix),MD
4232,2,MD,553,C,MD
4245,6,MD,852,K,MD
4246,2,RP,665,(no suffix),MD
4248,2,RP,695,(no suffix),IS
4257,3,MD,7,BA,MD
4274,21,IS,81,(no suffix),IS
4281,16,MD,295,(no suffix),MD
4289,22,MD,313,(no suffix),MD
4316,11,MD,733,A,MD
4324,3,MD,30,(no suffix),MD
4340,1,MD,49,(no suffix),MD
4351,2,IS,97,(no suffix),IS
4394,1,MD,135,D,MD
4397,1,MD,144,AE,MD
4399,1,MD,144,AL,MD
4401,1,MD,636,(no suffix),MD
4403,1,MD,638,(no suffix),MD
4405,1,MD,639,A,MD
4407,1,MD,639,B,MD
4422,2,RP,10,(no suffix),MD
4458,2,MD,909,(no suffix),MD
4461,2,MD,713,D,MD
4468,12,MD,159,A,MD
4474,12,MD,439,(no suffix),MD
4479,12,MD,490,(no suffix),MD
4483,12,MD,623,(no suffix),MD
4484,12,MD,624,(no suffix),MD
4486,2,MD,176,B,MD
4490,2,MD,103,(no suffix),MD
4495,2,MD,176,(no suffix),MD
4504,12,MD,646,(no suffix),MD
4506,12,MD,715,(no suffix),MD
4507,12,MD,755,(no suffix),MD
4510,12,MD,922,E,MD
4516,2,RP,97,(no suffix),IS
4524,14,MD,297,(no suffix),MD
4526,3,MD,131,(no suffix),MD
4535,2,MD,648,AA,MD
4545,2,MD,762,(no suffix),MD
4547,17,MD,456,A,MD
4558,2,MD,665,E,MD
4568,2,MD,648,G,MD
4569,2,MD,665,C,MD
4574,2,MD,969,A,MD
4575,2,MD,723,(no suffix),MD
4582,2,MD,995,(no suffix),MD
4589,2,MD,794,(no suffix),MD
4597,2,MD,259,(no suffix),MD
4619,2,MD,173,(no suffix),MD
4657,2,MD,270,(no suffix),MD
4742,2,MD,162,(no suffix),MD
4760,13,MD,932,C,MD
4764,10,RP,270,(no suffix),IS
4789,2,MD,255,(no suffix),MD
4793,2,IS,895,B,IS
4806,5,MD,404,(no suffix),MD
4829,2,MD,917,(no suffix),MD
4830,2,MD,436,(no suffix),MD
4843,2,MD,216,B,MD
4850,2,MD,256,(no suffix),MD
4851,1,MD,743,(no suffix),MD
4857,17,US,50,(no suffix),US
4864,12,RP,40,(no suffix),US
4877,7,MD,222,(no suffix),MD
4878,7,MD,7,B,MD
4934,12,RP,95,(no suffix),IS
4945,16,MD,535,A,MD
4952,2,MD,253,(no suffix),MD
4956,2,MD,214,A,MD
4960,2,MD,261,(no suffix),MD
4962,2,MD,710,(no suffix),MD
4972,2,MD,778,(no suffix),MD
4977,2,MD,778,F,MD
5004,20,MD,328,(no suffix),MD
5032,2,MD,10,(no suffix),MD
5038,2,MD,100,M,MD
5042,2,MD,100,S,MD
5043,2,MD,100,T,MD
5048,2,MD,645,B,MD
5092,12,IS,95,(no suffix),IS
5094,12,IS,95,M,IS
5095,12,IS,95,N,IS
5097,12,MD,7,A,MD
5100,12,MD,23,(no suffix),MD
5103,12,MD,24,D,MD
5105,12,MD,24,E,MD
5267,11,MD,948,D,MD
5272,11,US,40,(no suffix),US
5275,11,US,50,(no suffix),US
5278,11,US,219,A,US
5280,11,US,219,B,US
5282,11,US,219,C,US
5283,11,US,219,D,US
5285,11,US,219,E,US
5287,11,US,219,F,US
5288,11,US,219,G,US
5290,11,US,219,J,US
5292,11,IS,68,(no suffix),IS
5294,11,MD,38,(no suffix),MD
5295,11,MD,38,A,MD
5297,11,MD,38,B,MD
5299,11,MD,39,(no suffix),MD
5301,11,MD,39,A,MD
5305,11,MD,42,A,MD
5308,11,MD,135,C,MD
5310,11,MD,219,(no suffix),MD
5314,11,MD,495,A,MD
5315,11,MD,546,(no suffix),MD
5317,11,MD,546,F,MD
5318,11,MD,560,(no suffix),MD
5322,11,MD,733,(no suffix),MD
5326,11,MD,742,(no suffix),MD
5335,11,MD,825,B,MD
5337,11,MD,825,C,MD
5340,11,MD,826,B,MD
5342,11,MD,826,C,MD
5343,11,MD,826,D,MD
5345,11,MD,826,E,MD
5347,11,MD,826,G,MD
5348,11,MD,826,H,MD
5350,11,MD,826,J,MD
5352,11,MD,826,K,MD
5353,11,MD,826,L,MD
5364,11,MD,826,N,MD
5365,11,MD,826,P,MD
5367,11,MD,827,A,MD
5369,11,MD,827,C,MD
5372,11,MD,828,A,MD
5374,11,MD,946,(no suffix),MD
5376,11,MD,948,H,MD
5378,11,MD,948,K,MD
5429,6,MD,832,(no suffix),MD
5431,6,MD,194,(no suffix),MD
5433,6,MD,144,A,MD
5434,6,MD,850,E,MD
5435,6,MD,407,(no suffix),MD
5441,8,MD,5,K,MD
5461,3,MD,122,(no suffix),MD
5465,9,MD,14,(no suffix),MD
5475,16,RP,202,(no suffix),MD
5480,16,RP,5,(no suffix),MD
5492,14,MD,561,(no suffix),MD
5495,2,MD,100,O,MD
5497,6,MD,496,(no suffix),MD
5499,6,MD,833,(no suffix),MD
5516,3,MD,41,(no suffix),MD
5548,24,MD,542,(no suffix),MD
5556,2,MD,408,A,MD
5557,2,MD,435,(no suffix),MD
5586,21,MD,58,(no suffix),MD
5588,21,MD,60,(no suffix),MD
5605,13,RP,32,(no suffix),MD
5618,2,MD,980,C,MD
5620,21,MD,67,A,MD
5663,1,US,40,AB,US
5672,8,MD,228,(no suffix),MD
5673,17,MD,835,I,MD
5674,17,MD,835,C,MD
5675,17,MD,544,(no suffix),MD
5676,17,MD,481,(no suffix),MD
5690,21,RP,68,(no suffix),IS
5692,16,MD,381,(no suffix),MD
5693,4,MD,765,R,MD
5698,7,US,222,(no suffix),US
5719,17,MD,552,A,MD
5733,1,MD,952,A,MD
5739,14,MD,290,(no suffix),MD
5740,15,MD,594,B,MD
5742,8,MD,5,(no suffix),MD
5745,13,MD,32,B,MD
5751,24,MD,172,(no suffix),MD
5767,9,MD,307,(no suffix),MD
5768,7,MD,275,(no suffix),MD
5769,2,MD,648,I,MD
5778,15,MD,396,(no suffix),MD
5789,17,MD,656,(no suffix),MD
5805,4,MD,765,S,MD
5807,4,MD,524,(no suffix),MD
5816,16,MD,3,E,MD
5827,1,MD,51,A,MD
5852,16,MD,414,A,MD
5853,2,MD,672,(no suffix),MD
5867,9,MD,313,(no suffix),MD
5873,9,MD,336,(no suffix),MD
5881,6,MD,800,A,MD
5886,15,MD,594,A,MD
5887,13,MD,108,H,MD
5893,13,MD,144,HC,MD
5894,13,MD,103,A,MD
5901,9,MD,341,(no suffix),MD
5907,13,MD,103,C,MD
5921,10,MD,79,(no suffix),MD
5967,16,MD,5,P,MD
5968,21,MD,180,A,MD
5973,1,MD,35,(no suffix),MD
6028,3,US,1,AL,US
6035,2,MD,665,F,MD
6044,7,MD,273,(no suffix),MD
6057,7,MD,274,(no suffix),MD
6061,14,US,301,(no suffix),US
6063,5,MD,287,(no suffix),MD
6091,15,MD,547,(no suffix),MD
6092,16,MD,5,R,MD
6096,17,MD,835,H,MD
6121,7,MD,276,(no suffix),MD
6162,21,MD,62,(no suffix),MD
6168,9,MD,750,(no suffix),MD
6170,7,MD,285,(no suffix),MD
6179,7,MD,545,(no suffix),MD
6181,22,US,50,UA,US
6183,1,MD,807,A,MD
6211,7,MD,286,(no suffix),MD
6212,7,MD,316,(no suffix),MD
6219,21,RP,81,(no suffix),IS
6236,2,MD,423,(no suffix),MD
6276,16,MD,975,A,MD
6280,3,MD,439,(no suffix),MD
6285,5,MD,318,(no suffix),MD
6307,5,MD,16,A,MD
6308,5,MD,302,(no suffix),MD
6309,3,MD,158,(no suffix),MD
6310,21,MD,910,C,MD
6339,16,MD,337,(no suffix),MD
6340,16,MD,332,(no suffix),MD
6377,16,MD,810,A,MD
6387,19,MD,362,(no suffix),MD
6404,14,MD,21,(no suffix),MD
6408,16,MD,650,(no suffix),MD
6428,10,MD,27,(no suffix),MD
6449,22,MD,350,(no suffix),MD
6450,22,MD,352,(no suffix),MD
6483,22,MD,374,(no suffix),MD
6486,21,MD,858,A,MD
6487,21,MD,858,E,MD
6489,14,RP,301,(no suffix),US
6501,16,MD,726,(no suffix),MD
6502,16,MD,769,C,MD
6509,16,MD,725,(no suffix),MD
6514,21,MD,858,F,MD
6564,21,MD,910,B,MD
6599,17,MD,18,A,MD
6624,17,MD,305,(no suffix),MD
6628,2,MD,32,(no suffix),MD
6636,14,MD,701,(no suffix),MD
6637,20,MD,954,B,MD
6646,1,MD,948,M,MD
6647,1,MD,948,AL,MD
6649,1,MD,948,AF,MD
6650,1,MD,831,C,MD
6651,21,MD,903,(no suffix),MD
6655,16,MD,202,D,MD
6656,1,MD,51,E,MD
6657,2,MD,3,D,MD
6659,3,MD,695,B,MD
6663,16,MD,810,C,MD
6671,1,MD,948,AD,MD
6672,1,MD,942,(no suffix),MD
6673,16,MD,202,F,MD
6675,13,MD,175,HC,MD
6677,15,MD,929,A,MD
6679,13,MD,104,A,MD
6681,15,RP,28,(no suffix),MD
6682,21,US,340,(no suffix),US
6684,2,MD,100,Q,MD
6687,10,MD,904,H,MD
6693,16,MD,210,M,MD
6696,16,MD,964,(no suffix),MD
6699,16,MD,694,(no suffix),MD
6701,6,MD,849,(no suffix),MD
6708,5,MD,308,(no suffix),MD
6710,5,MD,304,A,MD
6714,16,MD,458,A,MD
6716,16,MD,564,B,MD
6721,7,MD,727,A,MD
6722,7,MD,727,(no suffix),MD
6725,5,MD,619,(no suffix),MD
6726,5,MD,776,(no suffix),MD
6727,5,MD,404,D,MD
6729,6,MD,77,(no suffix),MD
6731,3,MD,7,J,MD
6735,16,MD,810,B,MD
6736,16,MD,810,D,MD
6740,22,MD,813,F,MD
6741,22,MD,731,C,MD
6742,13,RP,175,(no suffix),MD
6743,16,MD,4,PA,MD
6794,17,MD,18,X,MD
6796,17,MD,18,Z,MD
6797,17,MD,18,H,MD
6798,17,MD,18,F,MD
6815,4,MD,2,AE,MD
6821,4,MD,497,(no suffix),MD
6823,4,MD,508,(no suffix),MD
6843,17,MD,404,(no suffix),MD
6846,7,RP,95,(no suffix),IS
6858,10,RP,340,(no suffix),US
6877,17,MD,835,L,MD
6878,2,RP,895,B,IS
6884,14,MD,292,(no suffix),MD
6895,23,MD,610,(no suffix),MD
6901,4,MD,2,B,MD
6902,4,MD,2,C,MD
6903,4,MD,2,D,MD
6904,4,MD,2,G,MD
6905,4,MD,2,K,MD
6906,4,MD,2,P,MD
6929,14,MD,298,B,MD
6934,23,MD,575,H,MD
6936,23,MD,575,G,MD
6954,2,IS,895,A,IS
6957,12,MD,147,(no suffix),MD
6976,8,MD,229,(no suffix),MD
6981,2,RP,4,(no suffix),MD
6982,2,RP,3,(no suffix),MD
6992,14,MD,864,(no suffix),MD
6993,14,MD,855,A,MD
6994,14,MD,444,A,MD
6995,14,MD,313,(no suffix),MD
7002,13,MD,732,R,MD
7003,13,MD,851,(no suffix),MD
7011,17,MD,19,A,MD
7027,21,MD,60,A,MD
7028,21,MD,57,(no suffix),MD
7042,6,RP,140,(no suffix),MD
7088,15,MD,27,(no suffix),MD
7089,1,MD,61,(no suffix),MD
7093,2,MD,648,F,MD
7137,13,MD,432,(no suffix),MD
7138,13,MD,984,(no suffix),MD
7140,21,MD,77,(no suffix),MD
7142,20,MD,662,(no suffix),MD
7143,20,MD,565,(no suffix),MD
7146,10,MD,806,R,MD
7148,10,MD,904,I,MD
7182,20,MD,404,(no suffix),MD
7183,20,MD,404,AL,MD
7184,20,MD,370,(no suffix),MD
7193,17,MD,18,S,MD
7209,12,MD,152,A,MD
7217,2,RP,32,(no suffix),MD
7253,20,MD,579,(no suffix),MD
7256,20,MD,518,(no suffix),MD
7259,3,MD,125,(no suffix),MD
7273,6,RP,70,(no suffix),IS
7344,2,RP,195,(no suffix),IS
7406,3,MD,151,A,MD
7457,23,MD,707,D,MD
7463,20,MD,334,(no suffix),MD
7465,20,MD,309,(no suffix),MD
7547,2,MD,393,(no suffix),MD
7549,4,MD,2,S,MD
7563,8,MD,210,(no suffix),MD
7593,16,MD,978,B,MD
7594,16,MD,977,F,MD
7610,17,MD,303,(no suffix),MD
7645,21,RP,340,(no suffix),US
7659,12,RP,1,(no suffix),US
7665,4,MD,262,A,MD
7711,8,MD,257,(no suffix),MD
7738,16,RP,301,(no suffix),US
7800,13,MD,94,(no suffix),MD
7811,6,MD,852,G,MD
7832,3,MD,130,(no suffix),MD
7840,19,MD,920,(no suffix),MD
7848,8,MD,254,(no suffix),MD
7852,8,MD,488,(no suffix),MD
7855,8,MD,925,A,MD
7856,8,MD,925,(no suffix),MD
7859,22,MD,815,(no suffix),MD
7899,16,RP,4,(no suffix),MD
7913,23,MD,374,(no suffix),MD
7918,6,MD,854,B,MD
7919,6,MD,851,(no suffix),MD
7964,6,MD,852,H,MD
7965,3,MD,43,(no suffix),MD
8002,21,US,522,(no suffix),US
8004,2,MD,980,E,MD
8042,3,MD,88,(no suffix),MD
8050,6,MD,852,(no suffix),MD
8161,6,MD,904,A,MD
8211,16,RP,201,(no suffix),MD
8233,23,MD,992,F,MD
8273,23,MD,575,F,MD
8302,22,MD,348,(no suffix),MD
8315,22,MD,513,(no suffix),MD
8319,22,US,13,A,US
8353,22,MD,992,A,MD
8356,22,MD,992,C,MD
8358,22,MD,992,D,MD
8359,22,MD,992,E,MD
8361,23,MD,575,D,MD
8469,23,US,50,WB,US
8471,23,US,50,WC,US
8477,23,MD,575,E,MD
8497,23,MD,12,A,MD
8499,23,MD,90,(no suffix),MD
8504,23,MD,354,(no suffix),MD
8505,23,MD,359,(no suffix),MD
8507,23,MD,359,A,MD
8509,23,MD,359,B,MD
8519,23,MD,365,(no suffix),MD
8522,23,MD,367,(no suffix),MD
8526,23,MD,371,(no suffix),MD
8529,23,MD,375,(no suffix),MD
8534,23,MD,378,(no suffix),MD
8536,23,MD,378,A,MD
8538,23,MD,378,B,MD
8562,23,MD,568,(no suffix),MD
8570,23,MD,703,(no suffix),MD
8572,23,MD,707,A,MD
8606,12,MD,132,(no suffix),MD
8685,17,MD,18,Y,MD
8694,17,MD,309,(no suffix),MD
8708,15,MD,899,A,MD
8710,15,MD,655,G,MD
8719,2,MD,162,A,MD
8729,17,MD,662,(no suffix),MD
8737,12,MD,132,B,MD
8747,13,IS,95,(no suffix),IS
8786,1,MD,935,(no suffix),MD
8787,10,MD,904,F,MD
8934,17,MD,759,B,MD
8938,17,MD,802,(no suffix),MD
8940,17,MD,834,(no suffix),MD
8944,17,MD,835,(no suffix),MD
8946,17,MD,835,A,MD
8947,2,MD,70,C,MD
8970,2,MD,70,(no suffix),MD
8975,13,IS,70,(no suffix),IS
9026,13,MD,216,J,MD
9091,17,MD,18,G,MD
9100,1,MD,831,B,MD
9101,1,MD,831,D,MD
9115,2,MD,70,A,MD
9142,12,MD,138,(no suffix),MD
9188,15,MD,594,C,MD
9196,17,MD,18,V,MD
9346,17,MD,835,F,MD
9347,17,MD,835,G,MD
9350,17,MD,835,J,MD
9354,17,MD,837,(no suffix),MD
9419,4,MD,2,AF,MD
9458,17,MD,456,(no suffix),MD
9524,1,MD,658,(no suffix),MD
9794,17,RP,301,(no suffix),US
9954,16,MD,459,(no suffix),MD
10122,2,MD,778,Q,MD
10123,2,MD,778,E,MD
10124,2,MD,778,J,MD
10127,2,MD,778,M,MD
10151,4,MD,265,(no suffix),MD
10157,17,MD,8,A,MD
10163,17,RP,50,(no suffix),US
10289,17,MD,544,A,MD
10435,19,MD,529,(no suffix),MD
10440,18,MD,247,(no suffix),MD
10535,18,MD,944,A,MD
10536,18,MD,944,B,MD
10578,18,MD,489,(no suffix),MD
10579,16,MD,202,C,MD
10595,2,IS,195,(no suffix),IS
10602,10,MD,872,G,MD
10635,18,MD,944,E,MD
11118,13,MD,99,(no suffix),MD
11506,6,MD,853,E,MD
11551,13,MD,27,(no suffix),MD
11553,15,MD,80,(no suffix),MD
11554,18,MD,5,B,MD
11651,18,MD,242,(no suffix),MD
11652,18,MD,6,(no suffix),MD
